pareto_rank,individual_index,crowding_distance,neg_auroc,latency_ms,peak_ram_mb,energy_mj,candidate,metrics
0,0,inf,-0.8944444444444445,14.67645133336385,1772.4492,9999.0,"{""arch_spec"": {""family"": ""patch_cnn"", ""input_size"": 256, ""depth"": 4, ""channels"": [24, 192, 24, 192], ""kernel_size"": [7, 7, 7, 5], ""block_type"": [""ir"", ""conv"", ""ir"", ""ds""], ""bottleneck_ratio"": [2.0, 2.0, 0.5, 0.5], ""skip_connections"": [false, false, true, true], ""attention"": [""cbam"", ""eca"", ""none"", ""spatial""]}, ""quant_spec"": {""weight_bits"": [8, 4, 6, 4], ""act_bits"": [6, 8, 4, 4], ""symmetric"": true, ""per_channel"": false, ""mixed_precision"": true, ""global_weight_bits"": 6, ""global_act_bits"": 6, ""layer_weight_bits"": [8, 4, 6, 4], ""layer_act_bits"": [6, 8, 4, 4]}}",{}
1,1,inf,-0.7984126984126985,13.722698656717936,1730.4023,9999.0,"{""arch_spec"": {""family"": ""student_teacher"", ""input_size"": 192, ""depth"": 2, ""channels"": [32, 96], ""kernel_size"": [5, 7], ""block_type"": [""ir"", ""ds""], ""bottleneck_ratio"": [6.0, 1.0], ""skip_connections"": [true, false], ""attention"": [""cbam"", ""none""]}, ""quant_spec"": {""weight_bits"": [6, 8], ""act_bits"": [8, 6], ""symmetric"": true, ""per_channel"": true, ""mixed_precision"": true, ""global_weight_bits"": 6, ""global_act_bits"": 6, ""layer_weight_bits"": [6, 8], ""layer_act_bits"": [8, 6]}}",{}
2,2,inf,-0.884920634920635,13.600083128611248,1885.1133,9999.0,"{""arch_spec"": {""family"": ""unet"", ""input_size"": 224, ""depth"": 5, ""channels"": [16, 16, 192, 16, 16], ""kernel_size"": [5, 7, 7, 3, 3], ""block_type"": [""ir"", ""ds"", ""conv"", ""conv"", ""conv""], ""bottleneck_ratio"": [2.0, 1.0, 0.5, 0.5, 0.5], ""skip_connections"": [true, false, false, false, false], ""attention"": [""cbam"", ""none"", ""none"", ""none"", ""none""]}, ""quant_spec"": {""weight_bits"": [6, 8, 4, 4, 4], ""act_bits"": [8, 6, 4, 4, 4], ""symmetric"": true, ""per_channel"": true, ""mixed_precision"": true, ""global_weight_bits"": 8, ""global_act_bits"": 6, ""layer_weight_bits"": [6, 8, 4, 4, 4], ""layer_act_bits"": [8, 6, 4, 4, 4]}}",{}
3,3,inf,-0.780952380952381,12.275553035736085,1860.7891,9999.0,"{""arch_spec"": {""family"": ""autoencoder"", ""input_size"": 128, ""depth"": 5, ""channels"": [192, 64, 16, 64, 16], ""kernel_size"": [5, 7, 3, 3, 3], ""block_type"": [""ir"", ""ds"", ""conv"", ""conv"", ""conv""], ""bottleneck_ratio"": [6.0, 1.0, 0.5, 0.5, 0.5], ""skip_connections"": [true, false, false, false, false], ""attention"": [""cbam"", ""none"", ""none"", ""none"", ""none""]}, ""quant_spec"": {""weight_bits"": [6, 8, 4, 4, 8], ""act_bits"": [8, 8, 4, 4, 4], ""symmetric"": true, ""per_channel"": true, ""mixed_precision"": true, ""global_weight_bits"": 6, ""global_act_bits"": 6, ""layer_weight_bits"": [6, 8, 4, 4, 8], ""layer_act_bits"": [8, 8, 4, 4, 4]}}",{}
4,4,inf,-0.7809523809523811,12.043594614664714,1872.9297,9999.0,"{""arch_spec"": {""family"": ""autoencoder"", ""input_size"": 128, ""depth"": 5, ""channels"": [192, 64, 16, 64, 24], ""kernel_size"": [3, 3, 7, 5, 7], ""block_type"": [""ir"", ""ir"", ""ir"", ""conv"", ""ir""], ""bottleneck_ratio"": [1.0, 6.0, 2.0, 4.0, 4.0], ""skip_connections"": [true, false, false, false, true], ""attention"": [""spatial"", ""spatial"", ""cbam"", ""spatial"", ""none""]}, ""quant_spec"": {""weight_bits"": [8, 4, 6, 4, 4], ""act_bits"": [6, 8, 4, 4, 4], ""symmetric"": true, ""per_channel"": false, ""mixed_precision"": true, ""global_weight_bits"": 6, ""global_act_bits"": 6, ""layer_weight_bits"": [8, 4, 6, 4, 4], ""layer_act_bits"": [6, 8, 4, 4, 4]}}",{}
5,5,0.4275813854738366,-0.8285714285714285,12.206383959452312,1871.2773,9999.0,"{""arch_spec"": {""family"": ""student_teacher"", ""input_size"": 192, ""depth"": 2, ""channels"": [32, 96], ""kernel_size"": [5, 7], ""block_type"": [""ir"", ""ds""], ""bottleneck_ratio"": [6.0, 1.0], ""skip_connections"": [true, false], ""attention"": [""cbam"", ""none""]}, ""quant_spec"": {""weight_bits"": [6, 8], ""act_bits"": [6, 6], ""symmetric"": true, ""per_channel"": false, ""mixed_precision"": true, ""global_weight_bits"": 6, ""global_act_bits"": 6, ""layer_weight_bits"": [6, 8], ""layer_act_bits"": [6, 6]}}",{}
6,6,0.3208567582185858,-0.8746031746031746,13.53900375366211,1828.4883,9999.0,"{""arch_spec"": {""family"": ""patch_cnn"", ""input_size"": 224, ""depth"": 5, ""channels"": [192, 64, 16, 64, 24], ""kernel_size"": [3, 3, 7, 5, 3], ""block_type"": [""conv"", ""conv"", ""conv"", ""conv"", ""conv""], ""bottleneck_ratio"": [1.0, 6.0, 0.5, 0.5, 0.5], ""skip_connections"": [false, true, false, false, false], ""attention"": [""se"", ""none"", ""none"", ""none"", ""none""]}, ""quant_spec"": {""weight_bits"": [4, 6, 4, 8, 8], ""act_bits"": [6, 4, 8, 6, 6], ""symmetric"": false, ""per_channel"": true, ""mixed_precision"": true, ""global_weight_bits"": 6, ""global_act_bits"": 8, ""layer_weight_bits"": [4, 6, 4, 8, 8], ""layer_act_bits"": [6, 4, 8, 6, 6]}}",{}
7,7,0.2712238968427982,-0.8333333333333333,14.3382048924764,1740.293,9999.0,"{""arch_spec"": {""family"": ""student_teacher"", ""input_size"": 192, ""depth"": 2, ""channels"": [32, 96], ""kernel_size"": [5, 7], ""block_type"": [""ir"", ""ds""], ""bottleneck_ratio"": [6.0, 1.0], ""skip_connections"": [true, false], ""attention"": [""cbam"", ""none""]}, ""quant_spec"": {""weight_bits"": [6, 8], ""act_bits"": [8, 6], ""symmetric"": true, ""per_channel"": true, ""mixed_precision"": true, ""global_weight_bits"": 6, ""global_act_bits"": 6, ""layer_weight_bits"": [6, 8], ""layer_act_bits"": [8, 6]}}",{}
8,8,0.2935208611338383,-0.8706349206349207,13.643813355763752,1815.0312,9999.0,"{""arch_spec"": {""family"": ""unet"", ""input_size"": 224, ""depth"": 5, ""channels"": [16, 48, 24, 48, 256], ""kernel_size"": [5, 7, 5, 7, 5], ""block_type"": [""conv"", ""ir"", ""ir"", ""conv"", ""ir""], ""bottleneck_ratio"": [1.0, 4.0, 4.0, 2.0, 4.0], ""skip_connections"": [false, false, false, false, true], ""attention"": [""none"", ""eca"", ""spatial"", ""se"", ""spatial""]}, ""quant_spec"": {""weight_bits"": 4, ""act_bits"": 8, ""symmetric"": true, ""per_channel"": true, ""mixed_precision"": false, ""global_weight_bits"": 4, ""global_act_bits"": 8, ""layer_weight_bits"": [6, 8, 4, 8, 6], ""layer_act_bits"": [8, 6, 6, 4, 6]}}",{}
9,9,0.2768862112546219,-0.8587301587301588,14.04456958770752,1788.7109,9999.0,"{""arch_spec"": {""family"": ""autoencoder"", ""input_size"": 224, ""depth"": 4, ""channels"": [24, 192, 24, 192], ""kernel_size"": [7, 7, 7, 5], ""block_type"": [""ir"", ""conv"", ""ir"", ""ds""], ""bottleneck_ratio"": [2.0, 2.0, 0.5, 0.5], ""skip_connections"": [false, false, true, true], ""attention"": [""cbam"", ""eca"", ""none"", ""spatial""]}, ""quant_spec"": {""weight_bits"": [8, 4, 6, 4], ""act_bits"": [6, 8, 4, 4], ""symmetric"": true, ""per_channel"": false, ""mixed_precision"": true, ""global_weight_bits"": 6, ""global_act_bits"": 6, ""layer_weight_bits"": [8, 4, 6, 4], ""layer_act_bits"": [6, 8, 4, 4]}}",{}
